token,Headword,orth,gram,SenseNumber,sentence,author_surname,date,title,slug_obra,page_num
musculos,músculo,músculos,plural,1,"Tambem os [[b]]musculos[[/b]], e as carnes se compoem das mesmas fibras nervosas, as quaes mais
              unidas entre si, e constipadas, constituem os tendoens dos musculos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,3
glandulas,glândula,glândulas,plural,1,"Segundo a diversa tecedura, e entresamento das fibras, e a diversa natureza dos
              humores, e dos succos, que exteriormente circulaõ, ou que entraõ nas taes fibras,
              nasce a varia composição das partes; mas principalmente das fibrasinhas variamente
              dispostas, e unidas humas com outras, se fazem as membranas, as quaes ou se estendem,
              e se alargaõ para defensa das outras partes, ou se estreitaõ formando huns canaes, o
              vasos para a circulação dos humores, ou finalmente se fazem redondos, convertendo-se
              em folliculos, e [[b]]glandulas[[/b]]
              para a separaçaõ dos mesmos humores.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,5
musculos,músculo,músculos,plural,1,"Pelo que, todo o corpo do animal assim como remotamente se pode resolver em
              fibras pequeninas, se resolvem aproximadamente nas fibras mayores, que fazem mayor
              corpo, como saõ as que vemos nos [[b]]musculos[[/b]], e também se resolvem em membranas, vasos, e  glandulas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,6
glandulas,glândula,glândulas,plural,1,"Pelo que, todo o corpo do animal assim como remotamente se pode resolver em
              fibras pequeninas, se resolvem aproximadamente nas fibras mayores, que fazem mayor
              corpo, como saõ as que vemos nos musculos, e também se resolvem em membranas, vasos, e  [[b]]glandulas[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,6
diaphragma,diafragma,diafragma,,1,"O thorax he aquella cavidade entre as claviculas, e o [[b]]diaphragma[[/b]], que contèm o coraçaõ, os bofes, o mediastino, e parte do isophago, e aspera arteria com os seus vasos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,7
isophago,esôfago,esôfago,,1,"O thorax he aquella cavidade entre as claviculas, e o diaphragma, que contèm o coraçaõ, os bofes, o mediastino, e parte do [[b]]isophago[[/b]], e aspera arteria com os seus vasos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,7
diaphragma,diafragma,diafragma,,1,"O abdomen he a cavidade, que principia desde o [[b]]diaphragma[[/b]] até as partes pudendas,
              ou osso, que chamaõ pubes, e o osso a que chamaõ coccyx;
              comprehende o ventriculo, ou estomago, os intestinos, o figado, o baço, os rins, e
              outras partes.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,8
coccyx,cóccix,cóccix,,1,"O abdomen he a cavidade, que principia desde o diaphragma até as partes pudendas,
              ou osso, que chamaõ pubes, e o osso a que chamaõ [[b]]coccyx[[/b]];
              comprehende o ventriculo, ou estomago, os intestinos, o figado, o baço, os rins, e
              outras partes.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,8
occiput,ócciput,ócciput,,1,"A parte superior da cabeça he a molleira, ou
              synciput, a posterior, e inferior he o toutiço, ou [[b]]occiput[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,8
Hypogastrio,hipogástrio,Hipogástrio,,1,"A terceira, e inferior às outras, he a que
              chamaõ [[b]]Hypogastrio[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,9
Epigastrio,epigástrio,Epigástrio,,1,"As partes do  [[b]]Epigastrio[[/b]]
              lateraes, e superiores, saõ os hypocondrios, ou vasios, hum da parte direita, e outro
              da parte esquerda.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,9
Hypogastrio,hipogástrio,Hipogástrio,,1,"As partes lateraes superiores do [[b]]Hypogastrio[[/b]] saõ os vasios, que em Latim chamaõ Ilia; e em Portuguez tambem
              ilhargas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,9
carpo,carpo,carpo,,1,"Entre este, e a maõ està o collo da mão, ou munheca, a que tambem chamaõ
                [[b]]carpo[[/b]], a que se segue a parte da mão atè os dedos, que os Gregos chamaõ metacarpo, a sua parte interior se chama
              palma da maõ, a exterior, costa da maõ.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,9
metacarpo,metacarpo,metacarpo,,1,"Entre este, e a maõ està o collo da mão, ou munheca, a que tambem chamaõ
                carpo, a que se segue a parte da mão atè os dedos, que os Gregos chamaõ [[b]]metacarpo[[/b]], a sua parte interior se chama
              palma da maõ, a exterior, costa da maõ.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,10
Adiposa,adiposo,adiposo,feminino singular,1,"Tres saõ as partes, que servem de cubrir todo o corpo, a cuticula, a , ou pelle, e a membrana, que chamaõ [[b]]Adiposa[[/b]] .",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,12
musculos,músculo,músculos,plural,1,"A cute, ou pelle, naõ he outra cousa, senaõ huma membrana muy forte, feita, e come
              tecida de fibras brancas, as quaes (conforme o que diz Stenon) procedem dos tendoens
              dos [[b]]musculos[[/b]], que estaõ
              debaixo da mesma cute.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,13
papillas,papila,papilas,feminino plural,1,"Sahem da mesma cute huns corpos pequeninos longos de substancia nervosa, e de
              figura pyramidal, a que Malpighio dà o nome de [[b]]papillas[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,13
glandulas,glândula,glândulas,plural,1,"Debaixo da cute, quasi por todo o corpo, estaõ as  [[b]]glandulas[[/b]], que pela grandeza, e figura se
              chamaõ miliares, cheyas de nervos, e vasos de sangue, e com os seus canos, ou ductos
              excretorios, os quaes passando o corpo reticular, vem acabar na superficie exterior do
              mesmo corpo reticular.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,13
glandulas,glândula,glândulas,plural,1,"Além destas [[b]]glandulas[[/b]],
              foraõ descubertas outras pelo dito Malpighio, Valsalva, e Morgagno, e estas se naõ
              apparecem em toda a cute, ao menos vem-se em certas partes da mesma cute, às quaes
              chamao sebaceas, por causa da materia, que separaõ, que parece sebo.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,13
Lunula,lúnula,Lúnula,,1,"As unhas saõ laminas moderadamente
              duras, flexiveis, transparentes, mais brandas, e tenues junto à raiz, onde se vê huma
              porçaõ branca, que pela sua figura se chama [[b]]Lunula[[/b]]: a parte anterior nao està pegada à outra cousa, a posterior està
              pegada à cuticula, donde nascem.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,13
filamentos,filamento,filamento,plural,2,"Nenhuma outra cousa saõ as unhas, senaõ muitos canosinhos, dispostos com certa
              ordem, pelos quaes, como por humas bainhas, passaõ os [[b]]filamentos[[/b]] das  papillas cutaneas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,15
papillas,papila,papilas,feminino plural,1,"Nenhuma outra cousa saõ as unhas, senaõ muitos canosinhos, dispostos com certa
              ordem, pelos quaes, como por humas bainhas, passaõ os filamentos das  [[b]]papillas[[/b]] cutaneas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,15
scroto,escroto,escroto,,1,"Depois da cute se segue a membrana adiposa, que he a terceira cubertura de todo o
              corpo, exceptuando as capellas dos olhos, o membro viril, e a bolsa dos testiculos, ou
                [[b]]scroto[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
musculos,músculo,músculos,plural,1,"Alèm destas tres cuberturas commuas, alguns querem, que hajaõ mais duas, que saõ
              o panniculo carnoso, e a membrana commua dos [[b]]musculos[[/b]]",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
musculos,músculo,músculos,plural,1,"No homem, alèm do tecido dos [[b]]musculos[[/b]], na testa, ou fronte, se achaõ tambem humas fibras
              entremetidas na membrana adiposa, que concorrem para fazer as mesmas rugas, e nada
              mais se acha, que se possa comparar com o panniculo dos brutos, e contarse entre as
              cuberturas commuas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
musculos,músculo,músculos,plural,1,"O mesmo se diz da membrana commua dos [[b]]musculos[[/b]], porque nenhuma outra cousa commua se observa no homem,
              tirando humas extensoens de certas fibras derivadas dos tendoens, as quaes parece, que
              abraçaõ muitos musculos, mas
              naõ todos, e por isso naõ se pode dizer, que he cubertura commua.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
musculos,músculo,músculos,plural,1,"O mesmo se diz da membrana commua dos [[b]]musculos[[/b]], porque nenhuma outra cousa commua se observa no homem,
              tirando humas extensoens de certas fibras derivadas dos tendoens, as quaes parece, que
              abraçaõ muitos musculos, mas
              naõ todos, e por isso naõ se pode dizer, que he cubertura commua.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
papillas,papila,papilas,feminino plural,1,"Porém na cute as partes, que parece se pòdem comparar com as mais para receber as
              impressoens dos objectos, saõ as [[b]]papillas[[/b]], nas quaes começaõ as taes impressoens em
              ordem à sensaçaõ, e pelos nervos continuados chegaõ a communicarse ao cerebro.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
glandulas,glândula,glândulas,plural,1,"Porque o humor seroso pelas 
                [[b]]glandulas[[/b]] cutaneas se separa do sangue, e sahe fóra, a qual evacuaçaõ, se he
              moderada, se chama insensivel transpiraçao; se he mayor, e o humor sahe sensivelmente
              pelos pòros excretorios, se chama suor.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
papillas,papila,papilas,feminino plural,1,"Com o suor fica banhada a cute, e com isto as  [[b]]papillas[[/b]] nervosas se conservaõ molles, e naõ se secaõ,
              nem se endurecem, e assim ficaõ capazes para as sensaçoens do tacto.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
musculos,músculo,músculos,plural,1,"O uso da: membrana adiposa he conservar com a sua gordura aquella brandura, que
              deve ter a cute, e os 
                [[b]]musculos[[/b]], para que mais facilmente façaõ os seus movimentos, e para que
              resistao ás compressoens, e ao frio, e para attemperar a acrimonia dos saes, e
              finalmente para impedir a demasiada transpiraçaõ, enchendo os póros.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
musculos,músculo,músculos,plural,1,"O Peritôneo tem dous processos, que vaõ atè às virilhas, os quaes nas mulheres
              incluem os ligamentos do utero, que chamaõ redondos, e nos homens os vasos
              espermaticos, que passando pelos [[b]]musculos[[/b]] obliquos, e transversos do abdomen, vaõ até o escroto,
              onde os mesmos processos estendendo-se mais, constituem hum, e outro envoltorio, ou
              tunica vaginal dos testiculos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
escroto,escroto,escroto,,1,"O Peritôneo tem dous processos, que vaõ atè às virilhas, os quaes nas mulheres
              incluem os ligamentos do utero, que chamaõ redondos, e nos homens os vasos
              espermaticos, que passando pelos musculos obliquos, e transversos do abdomen, vaõ até o [[b]]escroto[[/b]],
              onde os mesmos processos estendendo-se mais, constituem hum, e outro envoltorio, ou
              tunica vaginal dos testiculos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,16
isophago,esôfago,esôfago,,1,"O Peritôneo na parte superior tem tres buracos, pelos quaes passaõ o [[b]]isophago[[/b]], a arteria magna, e a vea cava.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,21
musculos,músculo,músculos,plural,1,"He tambem furado o Peritôneo na parte anterior, para dar
              passagem aos vasos umbilicaes, e tem huns nervosinhos derivados daquelles dos  [[b]]musculos[[/b]] do abdomen.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,21
phrenicas,frênico,frênicas,feminino plural,1,"Tambem tem arterias derivadas das [[b]]phrenicas[[/b]], e das mammarias, e das epigastricas, as suas
              veas tornaõ as phrenicas, e epigastricas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,21
phrenicas,frênico,frênicas,feminino plural,1,"Tambem tem arterias derivadas das [[b]]phrenicas[[/b]], e das mammarias, e das epigastricas, as suas
              veas tornaõ as phrenicas, e epigastricas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,21
glandulas,glândula,glândulas,plural,1,"Tambem se achaõ no redenho vasos lymphaticos, os quaes pòde ser que tenhaō
              communicação com as [[b]]glandulas[[/b]] pequenas, que estao em varias partes do mesmo redenho, e cubertas
              de gordura.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,22
adiposos,adiposo,adiposo,masculino plural,1,"Além destes vasos, pareceo a Malpighio ter achado outros, que estaõ entre os saquinhos acima ditos, aos
              quaes chama [[b]]adiposos[[/b]]; mas isto
              deixou em duvida na sua Obra posthuma.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,24
bile,bile,bile,,1,"Além disto, como
              todo o sangue do redenho torna a ir pelas veas ao figado, podemos suppor, que isto
              seja para levar comsigo ao mesmo figado as particulas oleosas, tirando-as do redenho
              para a preparaçaõ da [[b]]bile[[/b]], a qual consta principalmente de particulas
              oleosas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,24
isophago,esôfago,esôfago,,1,"Tres saõ as principaes partes deste canal. O [[b]]isophago[[/b]], o ventriculo, e os intestinos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
isophago,esôfago,esôfago,,1,"O [[b]]isophago[[/b]] principia na pharinge, donde nasce, e
              descendo pelas vertebras, passa o diaphragma, onde
              alargando-se, fórma mayor cavidade, a qual se chama ventriculo.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
diaphragma,diafragma,diafragma,,1,"O isophago principia na pharinge, donde nasce, e
              descendo pelas vertebras, passa o [[b]]diaphragma[[/b]], onde
              alargando-se, fórma mayor cavidade, a qual se chama ventriculo.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
isophago,esôfago,esôfago,,1,"A tunica exterior do [[b]]isophago[[/b]] nasce da pleura, a
              media he composta de duas ordens de fibras carnosas, das quaes, humas vaõ direitas
              pelo comprimento do isophago, e outras estaõ á roda
              delle.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
isophago,esôfago,esôfago,,1,"A tunica exterior do [[b]]isophago[[/b]] nasce da pleura, a
              media he composta de duas ordens de fibras carnosas, das quaes, humas vaõ direitas
              pelo comprimento do isophago, e outras estaõ á roda
              delle.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
glandulas,glândula,glândulas,plural,1,"A tunica interior he nervosa, como dissemos; tem humas  [[b]]glandulas[[/b]] pequenas, as quaes deitaõ pelos seus
              canos excretorios hum humor tenue na cavidade do canal sobredito.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
excretorios,excretório,excretórios,masculino plural,1,"A tunica interior he nervosa, como dissemos; tem humas  glandulas pequenas, as quaes deitaõ pelos seus
              canos [[b]]excretorios[[/b]] hum humor tenue na cavidade do canal sobredito.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,25
isophago,esôfago,esôfago,,1,"Esta tunica interior alli naõ tem rugas transversas, como tem no ventriculo, mas
              continua direitamente pelo mesmo [[b]]isophago[[/b]], para naõ
              impedir que caya o comer no ventriculo.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,26
isophago,esôfago,esôfago,,1,"Perto da quinta vertebra do thorax,exteriormente, estaõ na parte posterior do
                [[b]]isophago[[/b]] humas  glandulas, as quaes ordinariamente saõ duas, e com os seus
              ductos, a pòde ser que cheguem à cavidade do mesmo isophago, lançando hum succo, talvez para humedecer a mesma cavidade.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,26
glandulas,glândula,glândulas,plural,1,"Perto da quinta vertebra do thorax,exteriormente, estaõ na parte posterior do
                isophago humas  [[b]]glandulas[[/b]], as quaes ordinariamente saõ duas, e com os seus
              ductos, a pòde ser que cheguem à cavidade do mesmo isophago, lançando hum succo, talvez para humedecer a mesma cavidade.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,26
isophago,esôfago,esôfago,,1,"Perto da quinta vertebra do thorax,exteriormente, estaõ na parte posterior do
                [[b]]isophago[[/b]] humas  glandulas, as quaes ordinariamente saõ duas, e com os seus
              ductos, a pòde ser que cheguem à cavidade do mesmo isophago, lançando hum succo, talvez para humedecer a mesma cavidade.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,26
glandulas,glândula,glândulas,plural,1,"Essas  [[b]]glandulas[[/b]]
              fazendo-se mayores por alguma doença, causaõ hum fastio mortal, e impedem a passagem
              aos alimentos, ainda que sejaõ liquidos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,26
epigastrio,epigástrio,epigástrio,,1,"O ventriculo he hum sacco, que tem figura de odre, e està no meyo do [[b]]epigastrio[[/b]], e tem da parte direita o figado, o qual està
              acima do ventriculo, cobrindo o algum tanto com a parte concava; da parte esquerda
              está o baço.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,26
glandulas,glândula,glândulas,plural,1,Tambem està cheya de [[b]]glandulas[[/b]] pequenas.,SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,29
bile,bile,bile,,1,"Està o colon pegado
              aos rins, e ao baço, e às vezes à bexiga do figado, que contém em si a
                [[b]]bile[[/b]], e por isso participa da cor amarella.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,32
coccyx,cóccix,cóccix,,1,"O intestino recto, que he o ultimo de todos, està direitamente sobre o osso
              sacro, e [[b]]coccyx[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,32
musculo,músculo,músculo,,1,"No fim do intestino
              recto està hum [[b]]musculo[[/b]] orbicular, o qual chamaõ
              sphincter, e serve, como diremos, para impedir a involuntaria sahida das fezes: neste
              acabaõ outros musculos, que levantaõ o cesso, estes impedem a procidencia do Ano, que he a sahida fóra do
              seu lugar, e por isso em Latim se dizem levatores.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,32
musculos,músculo,músculos,plural,1,"No fim do intestino
              recto està hum musculo orbicular, o qual chamaõ
              sphincter, e serve, como diremos, para impedir a involuntaria sahida das fezes: neste
              acabaõ outros [[b]]musculos[[/b]], que levantaõ o cesso, estes impedem a procidencia do Ano, que he a sahida fóra do
              seu lugar, e por isso em Latim se dizem levatores.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,32
bile,bile,bile,,1,"Note-se, que na cavidade dos intestinos se observaõ primeiramente dous grandes
              ductos, quatro, ou cinco dedos distantes do Pylôro, hum delles lança a
                [[b]]bile[[/b]], o outro o succo pancreatico para a mesma cavidade do intestino;
              mas tudo no corpo humano pela mayor parte sahe como de huma boca só, pela uniaõ dos
              ductos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,33
glandulas,glândula,glândulas,plural,1,"Nesta cavidade observou Brunero muitas  [[b]]glandulas[[/b]], que
              tambem nos outros intestinos se achaõ, as quaes foraõ primeiro observadas por Peieiro,
              humas destas  glandulas se
              achaõ unidas como cachos de uvas, nos intestinos delgados, e outras ainda mais nos
              intestinos grossos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,34
glandulas,glândula,glândulas,plural,1,"Nesta cavidade observou Brunero muitas  [[b]]glandulas[[/b]], que
              tambem nos outros intestinos se achaõ, as quaes foraõ primeiro observadas por Peieiro,
              humas destas  glandulas se
              achaõ unidas como cachos de uvas, nos intestinos delgados, e outras ainda mais nos
              intestinos grossos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,34
jalatinosa,gelatinoso,gelatinosa,feminino singular,1,"O fim de todo o artificio da concocçaõ do que se come, he, que fique o mantimento
              desfeito de sorte, que a parte mais pura, mais branda, e [[b]]jalatinosa[[/b]], e mais semelhante à
              nossa substancia, se separe das outras mais crassas.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,36
ensiforme,ensiforme,ensiforme,,1,"O segundo ligamento he
              producçaõ do Peritôneo, com o qual se une o figado à cartilagem
              [[b]]ensiforme[[/b]], ou espinhela.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,51
capsula,cápsula,cápsula,,1,"Este involtorio he huma certa bainha
              membranosa, produzida do Peritôneo, que cobre os vasos hepaticos, e se chama [[b]]capsula[[/b]] de Glissonio.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,53
capsula,cápsula,cápsula,,1,"Està fortalecida esta [[b]]capsula[[/b]] com fibras
              carnosas, as quaes com a sua contracçaõ ajudaõ muito a que corraõ os fluidos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,53
capsula,cápsula,cápsula,,1,"Involtorio commum, ou [[b]]capsula[[/b]] de Glissonio.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,54
bile,bile,bile,,1,"13 O uso do figado he separar a [[b]]bile[[/b]], parte da qual vay à bexiga, e parte
            aos intestinos. Na bexiga se faz a bile muito amargosa, ou porque alli
              se detem, ou pela mistura de algum succo, e por isso a dividem os Authores em bilis
              hepatica, e cistica. A bile hepatica he mais fluida, e amarga menos, e
            naõ he taõ còrada como he a da bexiga, que he mais grossa, e muito còrada.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,55
bile,bile,bile,,1,"Na bexiga se faz a [[b]]bile[[/b]] muito amargosa, ou porque alli
              se detem, ou pela mistura de algum succo, e por isso a dividem os Authores em bilis
              hepatica, e cistica.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,55
cistica,cístico,cística,feminino singular,1,"Na bexiga se faz a bile muito amargosa, ou porque alli
              se detem, ou pela mistura de algum succo, e por isso a dividem os Authores em bilis
              hepatica, e [[b]]cistica[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,55
bile,bile,bile,,1,"13 O uso do figado he separar a [[b]]bile[[/b]], parte da qual vay à bexiga, e parte
            aos intestinos. Na bexiga se faz a bile muito amargosa, ou porque alli
              se detem, ou pela mistura de algum succo, e por isso a dividem os Authores em bilis
              hepatica, e cistica. A bile hepatica he mais fluida, e amarga menos, e
            naõ he taõ còrada como he a da bexiga, que he mais grossa, e muito còrada.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,55
Bulbo,bulbo,bulbo,,2,"16 A uretra he um cano cylindrico, que principia do collo da bexiga atè o fim do
            membro, pela parte exterior. Consta de duas membranas, entre as quaes està huma
            substancia esponjosa da mesma natureza, que he a substancia do membro. A sua parte
            posterior por causa da sua figura he de alguns chamada [[b]]Bulbo[[/b]]. A parte anterior revoltada, e estendida compoem a
              glande, ou cabeça do membro, chamada Balano.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,74
Balano,bálano,Bálano,,1,"A parte anterior revoltada, e estendida compoem a
              glande, ou cabeça do membro, chamada [[b]]Balano[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,74
