token,Headword,orth,gram,SenseNumber,sentence,author_surname,date,title,page,slug_obra
glandulas,glândula,glândulas,plural,1,"Porque o humor seroso pelas 
                glandulas cutaneas se separa do sangue, e sahe fóra, a qual evacuaçaõ, se he
              moderada, se chama insensivel transpiraçao; se he mayor, e o humor sahe sensivelmente
              pelos pòros excretorios, se chama suor. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
papillas,papila,papilas,feminino plural,1,"Com o suor fica banhada a cute, e com isto as  papillas nervosas se conservaõ molles, e naõ se secaõ,
              nem se endurecem, e assim ficaõ capazes para as sensaçoens do tacto. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
musculos,músculo,músculos,plural,1,"O uso da: membrana adiposa he conservar com a sua gordura aquella brandura, que
              deve ter a cute, e os 
                musculos, para que mais facilmente façaõ os seus movimentos, e para que
              resistao ás compressoens, e ao frio, e para attemperar a acrimonia dos saes, e
              finalmente para impedir a demasiada transpiraçaõ, enchendo os póros. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
musculos,músculo,músculos,plural,1,"O Peritôneo tem dous processos, que vaõ atè às virilhas, os quaes nas mulheres
              incluem os ligamentos do utero, que chamaõ redondos, e nos homens os vasos
              espermaticos, que passando pelos musculos obliquos, e transversos do abdomen, vaõ até o escroto,
              onde os mesmos processos estendendo-se mais, constituem hum, e outro envoltorio, ou
              tunica vaginal dos testiculos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
escroto,escroto,escroto,,1,"O Peritôneo tem dous processos, que vaõ atè às virilhas, os quaes nas mulheres
              incluem os ligamentos do utero, que chamaõ redondos, e nos homens os vasos
              espermaticos, que passando pelos musculos obliquos, e transversos do abdomen, vaõ até o escroto,
              onde os mesmos processos estendendo-se mais, constituem hum, e outro envoltorio, ou
              tunica vaginal dos testiculos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
isophago,esôfago,esôfago,,1,"O Peritôneo na parte superior tem tres buracos, pelos quaes passaõ o isophago, a arteria magna, e a vea cava. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 21)",SANTUCCI,1739,Anatomia do Corpo Humano,21,anatomiasantucci
musculos,músculo,músculos,plural,1,"He tambem furado o Peritôneo na parte anterior, para dar
              passagem aos vasos umbilicaes, e tem huns nervosinhos derivados daquelles dos  musculos do abdomen. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 21)",SANTUCCI,1739,Anatomia do Corpo Humano,21,anatomiasantucci
phrenicas,frênico,frênicas,feminino plural,1,"Tambem tem arterias derivadas das phrenicas, e das mammarias, e das epigastricas, as suas
              veas tornaõ as phrenicas, e epigastricas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 21)",SANTUCCI,1739,Anatomia do Corpo Humano,21,anatomiasantucci
phrenicas,frênico,frênicas,feminino plural,1,"Tambem tem arterias derivadas das phrenicas, e das mammarias, e das epigastricas, as suas
              veas tornaõ as phrenicas, e epigastricas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 21)",SANTUCCI,1739,Anatomia do Corpo Humano,21,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Tambem se achaõ no redenho vasos lymphaticos, os quaes pòde ser que tenhaō
              communicação com as glandulas pequenas, que estao em varias partes do mesmo redenho, e cubertas
              de gordura. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 22)",SANTUCCI,1739,Anatomia do Corpo Humano,22,anatomiasantucci
adiposos,adiposo,adiposo,masculino plural,1,"Além destes vasos, pareceo a Malpighio ter achado outros, que estaõ entre os saquinhos acima ditos, aos
              quaes chama adiposos; mas isto
              deixou em duvida na sua Obra posthuma. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 24)",SANTUCCI,1739,Anatomia do Corpo Humano,24,anatomiasantucci
bile,bile,bile,,1,"Além disto, como
              todo o sangue do redenho torna a ir pelas veas ao figado, podemos suppor, que isto
              seja para levar comsigo ao mesmo figado as particulas oleosas, tirando-as do redenho
              para a preparaçaõ da  bile, a qual consta principalmente de particulas
              oleosas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 24)",SANTUCCI,1739,Anatomia do Corpo Humano,24,anatomiasantucci
isophago,esôfago,esôfago,,1,"Tres saõ as principaes partes deste canal. O isophago, o ventriculo, e os intestinos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
isophago,esôfago,esôfago,,1,"O isophago principia na pharinge, donde nasce, e
              descendo pelas vertebras, passa o diaphragma, onde
              alargando-se, fórma mayor cavidade, a qual se chama ventriculo. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
diaphragma,diafragma,diafragma,,1,"O isophago principia na pharinge, donde nasce, e
              descendo pelas vertebras, passa o diaphragma, onde
              alargando-se, fórma mayor cavidade, a qual se chama ventriculo. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
isophago,esôfago,esôfago,,1,"A tunica exterior do isophago nasce da pleura, a
              media he composta de duas ordens de fibras carnosas, das quaes, humas vaõ direitas
              pelo comprimento do isophago, e outras estaõ á roda
              delle. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
isophago,esôfago,esôfago,,1,"A tunica exterior do isophago nasce da pleura, a
              media he composta de duas ordens de fibras carnosas, das quaes, humas vaõ direitas
              pelo comprimento do isophago, e outras estaõ á roda
              delle. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"A tunica interior he nervosa, como dissemos; tem humas  glandulas pequenas, as quaes deitaõ pelos seus
              canos excretorios hum humor tenue na cavidade do canal sobredito. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
excretorios,excretório,excretórios,masculino plural,1,"A tunica interior he nervosa, como dissemos; tem humas  glandulas pequenas, as quaes deitaõ pelos seus
              canos excretorios hum humor tenue na cavidade do canal sobredito. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 25)",SANTUCCI,1739,Anatomia do Corpo Humano,25,anatomiasantucci
isophago,esôfago,esôfago,,1,"Esta tunica interior alli naõ tem rugas transversas, como tem no ventriculo, mas
              continua direitamente pelo mesmo isophago, para naõ
              impedir que caya o comer no ventriculo. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 26)",SANTUCCI,1739,Anatomia do Corpo Humano,26,anatomiasantucci
isophago,esôfago,esôfago,,1,"Perto da quinta vertebra do thorax,exteriormente, estaõ na parte posterior do
                isophago humas  glandulas, as quaes ordinariamente saõ duas, e com os seus
              ductos, a pòde ser que cheguem à cavidade do mesmo isophago, lançando hum succo, talvez para humedecer a mesma cavidade. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 26)",SANTUCCI,1739,Anatomia do Corpo Humano,26,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Perto da quinta vertebra do thorax,exteriormente, estaõ na parte posterior do
                isophago humas  glandulas, as quaes ordinariamente saõ duas, e com os seus
              ductos, a pòde ser que cheguem à cavidade do mesmo isophago, lançando hum succo, talvez para humedecer a mesma cavidade. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 26)",SANTUCCI,1739,Anatomia do Corpo Humano,26,anatomiasantucci
isophago,esôfago,esôfago,,1,"Perto da quinta vertebra do thorax,exteriormente, estaõ na parte posterior do
                isophago humas  glandulas, as quaes ordinariamente saõ duas, e com os seus
              ductos, a pòde ser que cheguem à cavidade do mesmo isophago, lançando hum succo, talvez para humedecer a mesma cavidade. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 26)",SANTUCCI,1739,Anatomia do Corpo Humano,26,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Essas  glandulas
              fazendo-se mayores por alguma doença, causaõ hum fastio mortal, e impedem a passagem
              aos alimentos, ainda que sejaõ liquidos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 26)",SANTUCCI,1739,Anatomia do Corpo Humano,26,anatomiasantucci
epigastrio,epigástrio,epigástrio,,1,"O ventriculo he hum sacco, que tem figura de odre, e està no meyo do epigastrio, e tem da parte direita o figado, o qual està
              acima do ventriculo, cobrindo o algum tanto com a parte concava; da parte esquerda
              está o baço. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 26)",SANTUCCI,1739,Anatomia do Corpo Humano,26,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Tambem està cheya de glandulas pequenas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 29)",SANTUCCI,1739,Anatomia do Corpo Humano,29,anatomiasantucci
bile,bile,bile,,1,"Està o colon pegado
              aos rins, e ao baço, e às vezes à bexiga do figado, que contém em si a
                bile, e por isso participa da cor amarella. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 32)",SANTUCCI,1739,Anatomia do Corpo Humano,32,anatomiasantucci
coccyx,cóccix,cóccix,,1,"O intestino recto, que he o ultimo de todos, està direitamente sobre o osso
              sacro, e coccyx. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 32)",SANTUCCI,1739,Anatomia do Corpo Humano,32,anatomiasantucci
musculo,músculo,músculo,,1,"No fim do intestino
              recto està hum musculo orbicular, o qual chamaõ
              sphincter, e serve, como diremos, para impedir a involuntaria sahida das fezes: neste
              acabaõ outros musculos, que levantaõ o cesso, estes impedem a procidencia do Ano, que he a sahida fóra do
              seu lugar, e por isso em Latim se dizem levatores. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 32)",SANTUCCI,1739,Anatomia do Corpo Humano,32,anatomiasantucci
musculos,músculo,músculos,plural,1,"No fim do intestino
              recto està hum musculo orbicular, o qual chamaõ
              sphincter, e serve, como diremos, para impedir a involuntaria sahida das fezes: neste
              acabaõ outros musculos, que levantaõ o cesso, estes impedem a procidencia do Ano, que he a sahida fóra do
              seu lugar, e por isso em Latim se dizem levatores. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 32)",SANTUCCI,1739,Anatomia do Corpo Humano,32,anatomiasantucci
bile,bile,bile,,1,"Note-se, que na cavidade dos intestinos se observaõ primeiramente dous grandes
              ductos, quatro, ou cinco dedos distantes do Pylôro, hum delles lança a
                bile, o outro o succo pancreatico para a mesma cavidade do intestino;
              mas tudo no corpo humano pela mayor parte sahe como de huma boca só, pela uniaõ dos
              ductos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 33)",SANTUCCI,1739,Anatomia do Corpo Humano,33,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Nesta cavidade observou Brunero muitas  glandulas, que
              tambem nos outros intestinos se achaõ, as quaes foraõ primeiro observadas por Peieiro,
              humas destas  glandulas se
              achaõ unidas como cachos de uvas, nos intestinos delgados, e outras ainda mais nos
              intestinos grossos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 34)",SANTUCCI,1739,Anatomia do Corpo Humano,34,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Nesta cavidade observou Brunero muitas  glandulas, que
              tambem nos outros intestinos se achaõ, as quaes foraõ primeiro observadas por Peieiro,
              humas destas  glandulas se
              achaõ unidas como cachos de uvas, nos intestinos delgados, e outras ainda mais nos
              intestinos grossos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 34)",SANTUCCI,1739,Anatomia do Corpo Humano,34,anatomiasantucci
jalatinosa,gelatinoso,gelatinosa,feminino singular,1,"O fim de todo o artificio da concocçaõ do que se come, he, que fique o mantimento
              desfeito de sorte, que a parte mais pura, mais branda, e jalatinosa, e mais semelhante à
              nossa substancia, se separe das outras mais crassas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 36)",SANTUCCI,1739,Anatomia do Corpo Humano,36,anatomiasantucci
ensiforme,ensiforme,ensiforme,,1,"O segundo ligamento he
              producçaõ do Peritôneo, com o qual se une o figado à cartilagem
              ensiforme, ou espinhela. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 51)",SANTUCCI,1739,Anatomia do Corpo Humano,51,anatomiasantucci
capsula,cápsula,cápsula,,1,"Este involtorio he huma certa bainha
              membranosa, produzida do Peritôneo, que cobre os vasos hepaticos, e se chama capsula de Glissonio. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 53)",SANTUCCI,1739,Anatomia do Corpo Humano,53,anatomiasantucci
capsula,cápsula,cápsula,,1,"Està fortalecida esta capsula com fibras
              carnosas, as quaes com a sua contracçaõ ajudaõ muito a que corraõ os fluidos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 53)",SANTUCCI,1739,Anatomia do Corpo Humano,53,anatomiasantucci
cistica,cístico,cística,feminino singular,1,"Na bexiga se faz a bile muito amargosa, ou porque alli se detem, ou pela
              mistura de algum succo, e por isso a dividem os Authores em bilis hepatica, e cistica. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 55)",SANTUCCI,1739,Anatomia do Corpo Humano,55,anatomiasantucci
Balano,bálano,Bálano,,1,"A parte anterior
              revoltada, e estendida compoem a glande, ou cabeça do membro, chamada Balano. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 74)",SANTUCCI,1739,Anatomia do Corpo Humano,74,anatomiasantucci
placenta,placenta,placenta,,1,"Á membrana chamada chorion està unida a placenta . (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 93)",SANTUCCI,1739,Anatomia do Corpo Humano,93,anatomiasantucci
placenta,placenta,placenta,,1,"O tamanho da  placenta em huns sogeitos he mayor, em outros menor,
              pela mayor parte excede a quantidade do meyo pè. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 94)",SANTUCCI,1739,Anatomia do Corpo Humano,94,anatomiasantucci
placentas,placenta,placenta,,1,"Nas vacas, e nas ovelhas, se achaõ muitas
                placentas, ainda que o feto seja só hum, e estaõ em
              varios lugares, mas unidas ao utero. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 94)",SANTUCCI,1739,Anatomia do Corpo Humano,94,anatomiasantucci
medullar,medular,medular,,2,"Desta substancia oleosa, e
                 medullar necessitaõ os ossos, porque
              saindo dos seus pòros, tempéra com sua untuosidade as particulas do sangue, que devem
              nutrir os mesmos ossos, e tambem serve para os conservar no seu temperamento,
              lubrificando, e impedindo, que pela muita sequidaõ não se quebrem facilmente. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 247)",SANTUCCI,1739,Anatomia do Corpo Humano,247,anatomiasantucci
occiput,ócciput,ócciput,,1,"Principîa esta na parte posterior da cabeça de
              huma parte, e outra do osso chamado occiput, ou toutiço,
              e obliquamente vay subindo ate o meyo da cabeça, e fórma hum ângulo, e por isso se
              chama angular: une o osso do toutiço aos ossos do synciput, ou molleira, e das
              fontes. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 252)",SANTUCCI,1739,Anatomia do Corpo Humano,252,anatomiasantucci
occiput,ócciput,ócciput,,1,"Aquelles que pertecem ao craneo saõ os seguintes: o osso da testa, dous do
              synciput, ou moleira; hum do occiput, ou toutiço; e dous
              das fontes. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 255)",SANTUCCI,1739,Anatomia do Corpo Humano,255,anatomiasantucci
orbita,órbita,órbita,,1,"As Apophisis, ou processos deste osso, saõ quatro, e estaõ nos quatro cantos dos
              olhos, os quaes servem para fazer na parte da  orbita
              superior o assento, ou base aos musculos, que fechaõ as capellas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 256)",SANTUCCI,1739,Anatomia do Corpo Humano,256,anatomiasantucci
orbitas,órbita,órbitas,,1,"O osso da testa tem tambem certas cavidades, humas são
              externas, e saõ aquellas, que ajudaõ a formar a cavidade das orbitas; outras saõ internas, e se chamaõ Lyras, servem estas
              de commodidade aos lobos dos miollos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 256)",SANTUCCI,1739,Anatomia do Corpo Humano,256,anatomiasantucci
